vendor,label,url,saved_path,status,size_bytes,title
jubo,service,https://jubo-health.com/service/,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/02_jubo/service.html,ok,163959,方案介紹 - 照護科技 | Jubo Health 智齡科技 | 台灣最懂你的照護系統
jubo,jubo_homeservice,https://jubo-health.com/jubo-homeservice-page/,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/02_jubo/jubo_homeservice.html,ok,296179,居服管理解決方案 - 照護科技 | Jubo Health 智齡科技 | 台灣最懂你的照護系統
jubo,latest_news,https://jubo-health.com/category/latest-news/,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/02_jubo/latest_news.html,ok,191877,〈最新消息 〉彙整頁面 - 照護科技 | Jubo Health 智齡科技 | 台灣最懂你的照護系統
jubo,customer_success_stories,https://jubo-health.com/category/customer-success-stories/,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/02_jubo/customer_success_stories.html,ok,161358,〈客戶成功案例 〉彙整頁面 - 照護科技 | Jubo Health 智齡科技 | 台灣最懂你的照護系統
workdo,workdo_main,https://www.workdo.co/,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/03_workdo/workdo_main.html,ok,150547,WorkDo
workdo,attendance_tool,https://portal.workdo.co/en/workdo-attendance-tool/,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/03_workdo/attendance_tool.html,ok,124475,WorkDo Attendance Tool - WorkDo
workdo,features,https://portal.workdo.co/en/features/,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/03_workdo/features.html,ok,167571,Features - WorkDo
workdo,pricing,https://portal.workdo.co/en/pricing/,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/03_workdo/pricing.html,ok,185259,Pricing - WorkDo
workdo,resourcecenter,https://portal.workdo.co/en/resourcecenter/,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/03_workdo/resourcecenter.html,ok,126409,Resource Center - WorkDo
workdo,resourcecenter_quickstart,https://portal.workdo.co/en/resourcecenter-quickstart/,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/03_workdo/resourcecenter_quickstart.html,ok,125332,Quick Start - New - WorkDo
n8n,docs_home,https://docs.n8n.io/,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/04_n8n/docs_home.html,ok,558709,Explore n8n Docs: Your Resource for Workflow Automation and Integrations | n8n Docs
n8n,choose_n8n,https://docs.n8n.io/choose-n8n/,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/04_n8n/choose_n8n.html,ok,567428,Choose your n8n | n8n Docs
n8n,hosting_docs,https://docs.n8n.io/hosting/,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/04_n8n/hosting_docs.html,ok,563118,n8n Hosting Documentation and Guides | n8n Docs
n8n,hosting_installation,https://docs.n8n.io/hosting/installation/,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/04_n8n/hosting_installation.html,ok,562620,n8n Hosting Documentation and Guides | n8n Docs
n8n,pricing,https://n8n.io/pricing/,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/04_n8n/pricing.html,ok,478826,n8n Plans and Pricing - n8n.io
mayohr,official_tw,https://www.mayohr.com/tw,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/05_mayohr/official_tw.html,ok,149758,MAYOHR雲端人資系統｜企業最佳人事管理夥伴
mayohr,project_cases,https://www.mayohr.com/tw/project,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/05_mayohr/project_cases.html,ok,269967,成功案例｜MAYOHR 人資系統幫助上千家企業人資數位轉型
